,num_passengers,purchase_lead,length_of_stay,flight_hour,add_ons_count,flight_duration,flight_day,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,booking_origin_0,booking_origin_1,booking_origin_2,booking_origin_3,booking_origin_4,booking_origin_5,booking_origin_6,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,departure_city_0,departure_city_1,departure_city_2,departure_city_3,departure_city_4,departure_city_5,departure_city_6,arrival_city_0,arrival_city_1,arrival_city_2,arrival_city_3,arrival_city_4,arrival_city_5,arrival_city_6,is_weekend,booking_urgency,long_haul,is_AM,departure_country_0,departure_country_1,departure_country_2,departure_country_3,departure_country_4,arrival_country_0,arrival_country_1,arrival_country_2,arrival_country_3,arrival_country_4,sales_channel_Mobile,trip_type_CircleTrip,trip_type_OneWay,trip_type_RoundTrip
47826,1.1166046730975012,0.6307131933587493,-0.6372779219856636,0.9209262596682888,1.4776034040072414,-1.5913425108228103,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
47487,1.5535771742530113,1.9098670895996872,-0.6372779219856636,-1.4102044758068109,-0.29911905412201495,-0.5399461303329668,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1
25245,1.1166046730975012,0.11450178654568811,0.5723895110409859,0.9209262596682888,-0.29911905412201495,-1.5913425108228103,3,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3802,-0.7613985763745363,-1.7829160915564075,-2.4260226560166966,-0.46656261260773185,-0.29911905412201495,0.09970522980350549,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
24860,-0.7613985763745363,0.5270936651284731,1.0381522111099157,-1.4102044758068109,1.4776034040072414,0.8732933577577402,4,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1
27665,1.1166046730975012,1.4623809616396695,-1.3674014856850494,-0.07853659432621089,-1.5108170509771273,1.0798180089877247,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
37184,-0.7613985763745363,-1.381903186323515,-0.8282822569920967,0.27723331018981234,-0.29911905412201495,-1.1225527266413642,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
17010,-0.7613985763745363,-1.4629623565409806,-2.4260226560166966,-0.07853659432621089,0.6569995985961722,0.8732933577577402,7,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
17374,-0.7613985763745363,0.43474219154236615,0.721584303535813,0.10279385556032979,0.6569995985961722,-1.555007776650273,6,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1
11189,-0.7613985763745363,-0.7365727905108893,0.8157851913935359,-1.1430031266458724,1.4776034040072414,1.0798180089877247,4,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1
4603,1.1166046730975012,0.24901396398380712,1.3447008909291183,-0.6766107939409205,0.6569995985961722,-0.2942385919163512,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
18820,-0.7613985763745363,-0.9295008130930285,0.8985217944604097,0.44563779509228063,0.6569995985961722,1.0798180089877247,6,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1
36856,1.1166046730975012,0.8594377497467247,-0.8282822569920967,-0.46656261260773185,0.6569995985961722,-0.2942385919163512,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1
15025,1.1166046730975012,-1.0209476480949546,0.6127013189671301,-0.6766107939409205,1.4776034040072414,0.5320713250972763,4,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1
47858,1.1166046730975012,-0.8872766810520506,-0.6372779219856636,-0.6766107939409205,-0.29911905412201495,-1.5913425108228103,7,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
11664,-0.7613985763745363,-0.5785189242278537,0.6127013189671301,0.9209262596682888,0.6569995985961722,-1.1225527266413642,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
7904,-0.7613985763745363,-1.7829160915564075,1.48852565162178,-1.7150767401932572,0.6569995985961722,0.8732933577577402,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1
11041,1.1166046730975012,1.0770123693704199,0.9948689657296641,-1.4102044758068109,-1.5108170509771273,0.8732933577577402,6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1
42867,-0.7613985763745363,1.2185607005704853,-0.6372779219856636,-0.9007216998172387,-1.5108170509771273,-0.7184129822529852,4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6689,-0.7613985763745363,-0.5785189242278537,1.0979988962951575,0.6086952058097841,0.6569995985961722,-1.1225527266413642,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
39187,1.1166046730975012,0.4453830467664642,-0.8282822569920967,1.2174137144075752,0.6569995985961722,-0.5399461303329668,4,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
32669,-0.7613985763745363,-0.6699670686553626,-1.0639330857182203,0.27723331018981234,-0.29911905412201495,-0.5399461303329668,3,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1
